Region/Country/Area,Year,Expenditure by level of education: primary (as % of government expenditure),Expenditure by level of education: secondary (as % of government expenditure),Expenditure by level of education: tertiary (as % of government expenditure),Public expenditure on education (% of GDP),GDP in current prices (millions of US dollars),GDP per capita (US dollars),Population mid-year estimates (millions),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
Aruba,2019,,,,,,,0.1063,,,
Australia,2019,,,,,,,25.2032,,,
Austria,2019,,,,,,,8.9551,,,
Azerbaijan,2019,,,,,,,10.0477,,,
Bahamas,2019,,,,,,,0.3895,,,
Bahrain,2019,,,,,,,1.6412,,,
Bangladesh,2019,,,,,,,163.0462,,,
Barbados,2019,,,,,,,0.287,,,
Belarus,2019,,,,,,,9.4524,,,
Belgium,2019,,,,,,,11.5393,,,
Belize,2019,,,,,,,0.3904,,,
Benin,2019,,,,,,,11.8012,,,
Bermuda,2019,,,,,,,0.0625,,,
Bhutan,2019,,,,,,,0.7631,,,
Bolivia (Plurin. State of),2019,,,,,,,11.5131,,,
"Bonaire, St. Eustatius & Saba",2005,,,,,,,0.0144,,,
"Bonaire, St. Eustatius & Saba",2010,,,,,,,0.0209,,,
"Bonaire, St. Eustatius & Saba",2019,,,,,,,0.026,,,
Bosnia and Herzegovina,2019,,,,,,,3.301,,,
Botswana,2019,,,,,,,2.3037,,,
Brazil,2019,,,,,,,211.0495,,,
British Virgin Islands,2001,,,,,,,0.0211,,,
British Virgin Islands,2019,,,,,,,0.03,,,
Brunei Darussalam,2019,,,,,,,0.4333,,,
Bulgaria,2019,,,,,,,7.0001,,,
Burkina Faso,2019,,,,,,,20.3214,,,
Burundi,2019,,,,,,,11.5306,,,
Cabo Verde,2019,,,,,,,0.5499,,,
Cambodia,2019,,,,,,,16.4865,,,
Cameroon,2019,,,,,,,25.8764,,,
Canada,2019,,,,,,,37.411,,,
Cayman Islands,2019,,,,,,,0.0649,,,
Central African Republic,2019,,,,,,,4.7452,,,
Chad,2019,,,,,,,15.9469,,,
Channel Islands,2005,,,,,,,0.1517,,,
Channel Islands,2010,,,,,,,0.1597,,,
Channel Islands,2017,,,,,,,0.1687,,,
Channel Islands,2019,,,,,,,0.1723,,,
Chile,2019,,,,,,,18.952,,,
China,2019,,,,,,,1433.7837,,,
"China, Hong Kong SAR",2019,,,,,,,7.4362,,,
"China, Macao SAR",2019,,,,,,,0.6404,,,
Colombia,2019,,,,,,,50.3394,,,
Comoros,2019,,,,,,,0.8509,,,
Congo,2019,,,,,,,5.3805,,,
Cook Islands,2001,,,,,,,0.0183,,,
Cook Islands,2006,,,,,,,0.0197,,,
Cook Islands,2019,,,,,,,0.0175,,,
Costa Rica,2019,,,,,,,5.0476,,,
Côte dIvoire,2019,,,,,,,25.7165,,,
Croatia,2019,,,,,,,4.1303,,,
Cuba,2019,,,,,,,11.3335,,,
Curaçao,2017,,,,,,,0.162,,,
Curaçao,2019,,,,,,,0.1634,,,
Cyprus,2019,,,,,,,1.1986,,,
Czechia,2019,,,,,,,10.6892,,,
Dem. People's Rep. Korea,2019,,,,,,,25.6662,,,
Dem. Rep. of the Congo,2019,,,,,,,86.7906,,,
Denmark,2019,,,,,,,5.7719,,,
Djibouti,2019,,,,,,,0.9736,,,
Dominica,2001,,,,,,,0.0697,,,
Dominica,2006,,,,,,,0.0708,,,
Dominica,2014,,,,,,,0.0728,7.695,5.663,
Dominica,2019,,,,,,,0.0718,,,
Dominican Republic,2019,,,,,,,10.739,,,
Ecuador,2019,,,,,,,17.3737,,,
Egypt,2019,,,,,,,100.3881,,,
El Salvador,2019,,,,,,,6.4536,,,
Equatorial Guinea,2019,,,,,,,1.356,,,
Eritrea,2019,,,,,,,3.4971,,,
Estonia,2019,,,,,,,1.3256,,,
Eswatini,2019,,,,,,,1.1481,,,
Ethiopia,2019,,,,,,,112.0787,,,
Falkland Islands (Malvinas),2001,,,,,,,0.0029,,,
Falkland Islands (Malvinas),2005,,,,,,,0.0029,,,
Falkland Islands (Malvinas),2006,,,,,,,0.0029,,,
Falkland Islands (Malvinas),2010,,,,,,,0.0029,,,
Falkland Islands (Malvinas),2012,,,,,,,0.0029,,,
Falkland Islands (Malvinas),2017,,,,,,,0.0029,,,
Falkland Islands (Malvinas),2019,,,,,,,0.0034,,,
Faroe Islands,2005,,,,,,,0.0483,,,
Faroe Islands,2008,,,,,,,0.0485,,,
Faroe Islands,2010,,,,,,,0.0486,,,
Faroe Islands,2015,,,,,,,0.049,,,
Faroe Islands,2017,,,,,,,0.0493,,,
Faroe Islands,2019,,,,,,,0.0487,,,
Fiji,2019,,,,,,,0.89,,,
Finland,2019,,,,,,,5.5322,,,
France,2019,,,,,,,65.1297,,,
French Guiana,2005,,,,,,,0.203,,,
French Guiana,2010,,,,,,,0.233,,,
French Guiana,2017,,,,,,,0.2752,,,
French Guiana,2019,,,,,,,0.2908,,,
French Polynesia,2019,,,,,,,0.2793,,,
Gabon,2019,,,,,,,2.1726,,,
Gambia,2019,,,,,,,2.3477,,,
Georgia,2019,,,,,,,3.9968,,,
Germany,2019,,,,,,,83.517,,,
Ghana,2019,,,,,,,30.4179,,,
Gibraltar,2001,,,,,,,0.0314,2.377,1.55,
Gibraltar,2005,,,,,,,0.0321,,,
Gibraltar,2010,,,,,,,0.0332,,,
Gibraltar,2012,,,,,,,0.0336,,,
Gibraltar,2015,,,,,,,0.0342,,,
Gibraltar,2017,,,,,,,0.0346,2.834,2.212,
Gibraltar,2019,,,,,,,0.0337,,,
Greece,2019,,,,,,,10.4735,,,
Greenland,2019,,,,,,,0.0567,,,
Grenada,2019,,,,,,,0.112,,,
Guadeloupe,2005,,,,,,,0.4029,,,
Guadeloupe,2010,,,,,,,0.4061,,,
Guadeloupe,2017,,,,,,,0.3997,,,
Guadeloupe,2019,,,,,,,0.4001,,,
Guam,2005,,,,,,,0.1584,,,
Guam,2010,,,,,,,0.1594,,,
Guam,2017,,,,,,,0.1643,,,
Guam,2019,,,,,,,0.1673,,,
Guatemala,2019,,,,,,,17.5815,,,
Guinea,2019,,,,,,,12.7712,,,
Guinea-Bissau,2019,,,,,,,1.9209,,,
Guyana,2019,,,,,,,0.7828,,,
Haiti,2019,,,,,,,11.2631,,,
Holy See,2000,,,,,,,0.0008,,,
Holy See,2005,,,,,,,0.0008,,,
Holy See,2009,,,,,,,0.0008,,,
Holy See,2010,,,,,,,0.0008,,,
Holy See,2017,,,,,,,0.0008,,,
Holy See,2019,,,,,,,0.0008,,,
Honduras,2019,,,,,,,9.7461,,,
Hungary,2019,,,,,,,9.6847,,,
Iceland,2019,,,,,,,0.339,,,
India,2019,,,,,,,1366.4178,,,
Indonesia,2019,,,,,,,270.6256,,,
Iran (Islamic Republic of),2019,,,,,,,82.9139,,,
Iraq,2019,,,,,,,39.3098,,,
Ireland,2019,,,,,,,4.8825,,,
Isle of Man,2005,,,,,,,0.0761,,,
Isle of Man,2009,,,,,,,0.0793,,,
Isle of Man,2010,,,,,,,0.0801,,,
Isle of Man,2016,,,,,,,0.0837,,,
Isle of Man,2017,,,,,,,0.0843,,,
Isle of Man,2019,,,,,,,0.0846,,,
Israel,2019,,,,,,,8.5194,,,
Italy,2019,,,,,,,60.5501,,,
Jamaica,2019,,,,,,,2.9483,,,
Japan,2007,,,,,,,128.4941,,,
Japan,2019,,,,,,,126.8603,,,
Jordan,2019,,,,,,,10.1017,,,
Kazakhstan,2019,,,,,,,18.5514,,,
Kenya,2019,,,,,,,52.574,,,
Kiribati,2019,,,,,,,0.1176,,,
Kuwait,2019,,,,,,,4.2071,,,
Kyrgyzstan,2019,,,,,,,6.4159,,,
Lao People's Dem. Rep.,2019,,,,,,,7.1695,,,
Latvia,2019,,,,,,,1.9067,,,
Lebanon,2019,,,,,,,6.8557,,,
Lesotho,2019,,,,,,,2.1253,,,
Liberia,2019,,,,,,,4.9374,,,
Libya,2019,,,,,,,6.7775,,,
Liechtenstein,2019,,,,,,,0.038,,,
Lithuania,2019,,,,,,,2.7596,,,
Luxembourg,2019,,,,,,,0.6157,,,
Madagascar,2019,,,,,,,26.9693,,,
Malawi,2019,,,,,,,18.6287,,,
Malaysia,2019,,,,,,,31.9498,,,
Maldives,2019,,,,,,,0.531,,,
Mali,2019,,,,,,,19.658,,,
Malta,2019,,,,,,,0.4404,,,
Marshall Islands,2004,,,,,,,0.0521,,,
Marshall Islands,2019,,,,,,,0.0588,,,
Martinique,2005,,,,,,,0.3972,,,
Martinique,2010,,,,,,,0.3947,,,
Martinique,2017,,,,,,,0.3759,,,
Martinique,2019,,,,,,,0.3756,,,
Mauritania,2019,,,,,,,4.5257,,,
Mauritius,2019,,,,,,,1.2697,,,
Mayotte,2005,,,,,,,0.1781,,,
Mayotte,2010,,,,,,,0.2087,,,
Mayotte,2019,,,,,,,0.2662,,,
Mexico,2019,,,,,,,127.5755,,,
Micronesia (Fed. States of),2019,,,,,,,0.1138,,,
Monaco,2000,,,,,,,0.0321,,,
Monaco,2008,,,,,,,0.0359,,,
Monaco,2019,,,,,,,0.039,,,
Mongolia,2019,,,,,,,3.2252,,,
Montenegro,2019,,,,,,,0.628,,,
Montserrat,2006,,,,,,,0.0048,,,
Montserrat,2011,,,,,,,0.005,,,
Montserrat,2019,,,,,,,0.005,,,
Morocco,2019,,,,,,,36.4718,,,
Mozambique,2019,,,,,,,30.366,,,
Myanmar,2019,,,,,,,54.0454,,,
Namibia,2019,,,,,,,2.4945,,,
Nauru,2019,,,,,,,0.0108,,,
Nepal,2019,,,,,,,28.6087,,,
Netherlands,2019,,,,,,,17.0971,,,
New Caledonia,2019,,,,,,,0.2828,,,
New Zealand,2019,,,,,,,4.7831,,,
Nicaragua,2019,,,,,,,6.5455,,,
Niger,2019,,,,,,,23.3107,,,
Nigeria,2019,,,,,,,200.9636,,,
Niue,2005,,,,,,,0.0017,0.178,0.206,
Niue,2010,,,,,,,0.0016,,,
Niue,2019,,,,,,,0.0016,,,
North Macedonia,2019,,,,,,,2.0835,,,
Northern Mariana Islands,2005,,,,,,,0.0637,,,
Northern Mariana Islands,2010,,,,,,,0.0544,,,
Northern Mariana Islands,2016,,,,,,,0.055,,,
Northern Mariana Islands,2017,,,,,,,0.0551,,,
Northern Mariana Islands,2019,,,,,,,0.0572,,,
Norway,2019,,,,,,,5.3789,,,
Oman,2019,,,,,,,4.975,,,
Other non-specified areas,2005,,,,,,,22.7057,,,
Other non-specified areas,2010,,,,,,,23.1876,,,
Other non-specified areas,2019,,,,,,,23.7739,,,
Pakistan,2019,,,,,,,216.5653,,,
Palau,2019,,,,,,,0.018,,,
Panama,2019,,,,,,,4.2464,,,
Papua New Guinea,2019,,,,,,,8.7761,,,
Paraguay,2019,,,,,,,7.0446,,,
Peru,2019,,,,,,,32.5105,,,
Philippines,2019,,,,,,,108.1166,,,
Poland,2019,,,,,,,37.8878,,,
Portugal,2019,,,,,,,10.2262,,,
Puerto Rico,2019,,,,,,,2.9334,,,
Qatar,2019,,,,,,,2.8321,,,
Republic of Korea,2019,,,,,,,51.2253,,,
Republic of Moldova,2019,,,,,,,4.0433,,,
Réunion,2005,,,,,,,0.7916,,,
Réunion,2010,,,,,,,0.8305,,,
Réunion,2017,,,,,,,0.8761,,,
Réunion,2019,,,,,,,0.8889,,,
Romania,2019,,,,,,,19.3646,,,
Russian Federation,2019,,,,,,,145.8723,,,
Rwanda,2019,,,,,,,12.627,,,
Saint Barthélemy,2005,,,,,,,0.0086,,,
Saint Barthélemy,2010,,,,,,,0.0092,,,
Saint Barthélemy,2019,,,,,,,0.0098,,,
Saint Helena,2005,,,,,,,0.0043,,,
Saint Helena,2010,,,,,,,0.0042,,,
Saint Helena,2017,,,,,,,0.004,,,
Saint Helena,2019,,,,,,,0.0061,,,
Saint Kitts and Nevis,2000,,,,,,,0.0454,,,
Saint Kitts and Nevis,2011,,,,,,,0.052,,,
Saint Kitts and Nevis,2019,,,,,,,0.0528,,,
Saint Lucia,2019,,,,,,,0.1828,,,
Saint Martin (French part),2005,,,,,,,0.0342,,,
Saint Martin (French part),2010,,,,,,,0.0376,,,
Saint Martin (French part),2019,,,,,,,0.038,,,
Saint Pierre and Miquelon,2005,,,,,,,0.0063,,,
Saint Pierre and Miquelon,2006,,,,,,,0.0063,,,
Saint Pierre and Miquelon,2010,,,,,,,0.0063,,,
Saint Pierre and Miquelon,2017,,,,,,,0.0063,,,
Saint Pierre and Miquelon,2019,,,,,,,0.0058,,,
Saint Vincent & Grenadines,2019,,,,,,,0.1106,,,
Samoa,2019,,,,,,,0.1971,,,
San Marino,2004,,,,,,,0.0289,1.445,,
San Marino,2019,,,,,,,0.0339,,,
Sao Tome and Principe,2019,,,,,,,0.2151,,,
Saudi Arabia,2019,,,,,,,34.2685,,,
Senegal,2019,,,,,,,16.2964,,,
Serbia,2019,,,,,,,8.7722,,,
Seychelles,2019,,,,,,,0.0977,,,
Sierra Leone,2019,,,,,,,7.8132,,,
Singapore,2019,,,,,,,5.8043,,,
Sint Maarten (Dutch part),2013,,,,,,,0.0364,,,
Sint Maarten (Dutch part),2014,,,,,,,0.0377,3.677,2.713,0.178
Sint Maarten (Dutch part),2017,,,,,,,0.0401,,,
Sint Maarten (Dutch part),2019,,,,,,,0.0424,,,
Slovakia,2019,,,,,,,5.457,,,
Slovenia,2019,,,,,,,2.0787,,,
Solomon Islands,2019,,,,,,,0.6698,,,
Somalia,2019,,,,,,,15.4429,,,
South Africa,2019,,,,,,,58.5583,,,
South Sudan,2005,,,,,,,7.5359,,,
South Sudan,2019,,,,,,,11.0621,,,
Spain,2019,,,,,,,46.7368,,,
Sri Lanka,2019,,,,,,,21.3237,,,
State of Palestine,2019,,,,,,,4.9814,,,
Sudan,2019,,,,,,,42.8132,,,
Suriname,2019,,,,,,,0.5814,,,
Sweden,2019,,,,,,,10.0364,,,
Switzerland,2019,,,,,,,8.5914,,,
Syrian Arab Republic,2019,,,,,,,17.0701,,,
Tajikistan,2019,,,,,,,9.321,,,
Thailand,2019,,,,,,,69.6256,,,
Timor-Leste,2019,,,,,,,1.2931,,,
Togo,2019,,,,,,,8.0824,,,
Tokelau,2001,,,,,,,0.0015,,,
Tokelau,2005,,,,,,,0.0012,,,
Tokelau,2006,,,,,,,0.0012,,,
Tokelau,2010,,,,,,,0.0011,,,
Tokelau,2016,,,,,,,0.0013,0.178,0.141,
Tokelau,2017,,,,,,,0.0013,,,
Tokelau,2019,,,,,,,0.0013,,,
Tonga,2019,,,,,,,0.1045,,,
Trinidad and Tobago,2019,,,,,,,1.395,,,
Tunisia,2019,,,,,,,11.6947,,,
Turkey,2019,,,,,,,83.4296,,,
Turkmenistan,2019,,,,,,,5.9421,,,
Turks and Caicos Islands,2001,,,,,,,0.0202,,,
Turks and Caicos Islands,2019,,,,,,,0.0382,,,
Tuvalu,2002,,,,,,,0.0096,,,
Tuvalu,2019,,,,,,,0.0116,,,
Uganda,2019,,,,,,,44.2696,,,
Ukraine,2019,,,,,,,43.9936,,,
United Arab Emirates,2019,,,,,,,9.7705,,,
United Kingdom,2019,,,,,,,67.5302,,,
United Rep. of Tanzania,2019,,,,,,,58.0055,,,
United States of America,2019,,,,,,,329.0649,,,
United States Virgin Islands,2005,,,,,,,0.1078,,,
United States Virgin Islands,2010,,,,,,,0.1061,,,
United States Virgin Islands,2017,,,,,,,0.1048,,,
United States Virgin Islands,2019,,,,,,,0.1046,,,
Uruguay,2019,,,,,,,3.4617,,,
Uzbekistan,2019,,,,,,,32.9817,,,
Vanuatu,2019,,,,,,,0.2999,,,
Venezuela (Boliv. Rep. of),2019,,,,,,,28.5158,,,
Viet Nam,2019,,,,,,,96.4621,,,
Wallis and Futuna Islands,2003,,,,,,,0.0147,,,
Wallis and Futuna Islands,2005,,,,,,,0.0146,,,
Wallis and Futuna Islands,2008,,,,,,,0.014,,,
Wallis and Futuna Islands,2010,,,,,,,0.0134,,,
Wallis and Futuna Islands,2016,,,,,,,0.0119,,,
Wallis and Futuna Islands,2017,,,,,,,0.0118,,,
Wallis and Futuna Islands,2019,,,,,,,0.0114,,,
Western Sahara,2005,,,,,,,0.4375,,,
Western Sahara,2010,,,,,,,0.4803,,,
Western Sahara,2017,,,,,,,0.5526,,,
Western Sahara,2019,,,,,,,0.5825,,,
Yemen,2019,,,,,,,29.1619,,,
Zambia,2019,,,,,,,17.861,,,
Zimbabwe,2019,,,,,,,14.6455,,,
"Total, all countries or areas",2014,,,,,,,,"715,016.66","580,925.09","212,931.48"
Northern Africa,2014,,,,,,,,"25,149.71","18,617.52","5,884.20"
Sub-Saharan Africa,2014,,,,,,,,"154,890.64","54,747.40","7,509.21"
Northern America,2014,,,,,,,,"26,791.64","26,894.96","21,279.10"
Latin America & the Caribbean,2014,,,,,,,,"65,266.68","64,190.43","25,508.80"
Eastern Asia,2014,,,,,,,,"106,544.15","102,398.66","50,193.75"
South-eastern Asia,2014,,,,,,,,"68,910.79","50,105.31","17,649.05"
Southern Asia,2014,,,,,,,,"194,499.68","168,937.59","40,029.24"
Western Asia,2014,,,,,,,,"26,142.76","25,143.05","10,570.08"
Europe,2014,,,,,,,,"38,127.79","57,901.23","30,626.70"
Oceania,2014,,,,,,,,"4,080.53","3,888.70","2,172.00"
Afghanistan,2004,,,,,,,,"4,430.14",594.306,27.648
Afghanistan,2009,,,,,,,,"4,945.63","1,716.19",95.185
Afghanistan,2014,,,,,,,,"6,217.76","2,602.73",262.874
Albania,2014,,,,,,,,195.72,333.291,173.819
Algeria,2011,,,,,,,,"3,363.24","4,572.51","1,188.56"
Algeria,2014,,,,,,,,"3,765.31",,"1,245.48"
Andorra,2008,,,,,,,,4.492,3.851,0.459
Andorra,2014,,,,,,,,4.065,4.319,0.498
Angola,2011,,,,,,,,"5,026.80",884.982,142.798
Antigua and Barbuda,2000,,,,,,,,13.025,5.276,
Antigua and Barbuda,2012,,,,,,,,10.453,8.383,1.792
Antigua and Barbuda,2014,,,,,,,,10.172,8.077,
Argentina,2014,,,,,,,,"4,780.11","4,450.74","2,869.45"
Armenia,2000,,,,,,,,180.306,409.423,92.914
Armenia,2014,,,,,,,,142.517,244.543,113.09
Aruba,2012,,,,,,,,8.888,8.377,2.621
Aruba,2014,,,,,,,,9.816,,1.235
Australia,2014,,,,,,,,"2,168.53",,
Austria,2014,,,,,,,,327.2468,697.3884,421.2248
Azerbaijan,2014,,,,,,,,517.708,,195.401
Bahrain,2006,,,,,,,,89.721,73.767,18.403
Bahrain,2014,,,,,,,,103.806,90.092,38.113
Barbados,2001,,,,,,,,24.225,20.866,7.979
Barbados,2011,,,,,,,,22.509,19.696,12.421
Barbados,2014,,,,,,,,21.171,20.603,
Belarus,2014,,,,,,,,368.783,648.541,517.578
Belgium,2014,,,,,,,,773.568,"1,210.11",495.91
Belize,2014,,,,,,,,51.978,37.095,8.635
Benin,2004,,,,,,,,"1,319.65",344.89,41.282
Benin,2014,,,,,,,,"2,133.33",896.763,149.913
Bermuda,2006,,,,,,,,4.678,4.518,1.208
Bermuda,2014,,,,,,,,4.1,4.093,1.108
Bhutan,2013,,,,,,,,104.323,68.775,8.543
Bosnia and Herzegovina,2014,,,,,,,,161.023,297.46,111.97
Botswana,2006,,,,,,,,330.417,176.902,21.738
Botswana,2008,,,,,,,,327.233,168.22,31.129
Botswana,2014,,,,,,,,340.7,,55.128
Brazil,2009,,,,,,,,"17,451.89","23,616.94","6,115.14"
Brazil,2014,,,,,,,,"16,630.22","24,224.95","8,072.15"
British Virgin Islands,2004,,,,,,,,2.824,1.707,1.136
British Virgin Islands,2009,,,,,,,,3.128,1.942,1.211
British Virgin Islands,2014,,,,,,,,3.277,1.987,
Brunei Darussalam,2014,,,,,,,,41.078,49.009,11.292
Bulgaria,2014,,,,,,,,258.84,518.914,283.294
Burkina Faso,2014,,,,,,,,"2,594.02",841.886,81.314
Burundi,2014,,,,,,,,"2,046.79",583.308,51.225
Cabo Verde,2014,,,,,,,,67.023,59.823,13.397
Cambodia,2008,,,,,,,,"2,340.61",930.2,137.49
Cambodia,2011,,,,,,,,"2,224.27",,223.222
Cameroon,2009,,,,,,,,"3,350.66","1,268.66",174.144
Cameroon,2014,,,,,,,,"4,142.78","2,000.08",349.756
Canada,2014,,,,,,,,"2,249.16","2,661.09","1,577.77"
Cayman Islands,2008,,,,,,,,3.736,3.198,0.912
Cayman Islands,2013,,,,,,,,3.95,3.387,
Cayman Islands,2018,,,,,,,,4.299,3.476,
Central African Republic,2001,,,,,,,,458.585,70.162,
Central African Republic,2002,,,,,,,,410.562,71.893,
Central African Republic,2004,,,,,,,,363.158,,6.384
Central African Republic,2009,,,,,,,,608.075,93.341,10.427
Central African Republic,2012,,,,,,,,662.317,125.907,12.522
Chad,2014,,,,,,,,"2,442.66",508.73,42.463
Chile,2014,,,,,,,,"1,469.10","1,556.37","1,205.18"
China,2003,,,,,,,,"121,662.36","95,624.76","15,186.22"
China,2013,,,,,,,,"98,870.82","94,324.42","34,091.29"
China,2014,,,,,,,,"95,107.12","88,691.79","41,924.20"
"China, Hong Kong SAR",2014,,,,,,,,324.171,415.971,304.8858
"China, Macao SAR",2014,,,,,,,,22.862,32.054,29.521
Colombia,2014,,,,,,,,"4,542.64","4,827.96","2,220.65"
Comoros,2003,,,,,,,,104.274,38.272,1.707
Comoros,2004,,,,,,,,103.809,42.919,
Comoros,2014,,,,,,,,120.381,70.234,6.499
Congo,2003,,,,,,,,509.507,204.096,12.347
Congo,2004,,,,,,,,584.37,235.294,
Congo,2009,,,,,,,,671.683,,23.397
Congo,2012,,,,,,,,734.493,339.25,39.303
Cook Islands,2012,,,,,,,,1.874,1.88,0.521
Cook Islands,2014,,,,,,,,1.843,1.718,
Costa Rica,2014,,,,,,,,475.731,460.235,216.751
Côte d’Ivoire,2003,,,,,,,,"2,046.17",,
Côte d’Ivoire,2009,,,,,,,,"2,383.36",,152.896
Côte d’Ivoire,2014,,,,,,,,"3,176.87","1,418.36",176.504
Côte d’Ivoire,2016,,,,,,,,"3,617.22","1,727.23",202.509
Croatia,2014,,,,,,,,160.819,370.356,166.061
Cuba,2013,,,,,,,,772.023,787.297,373.286
Cuba,2014,,,,,,,,763.364,830.375,301.773
Cyprus,2014,,,,,,,,53.129,58.634,33.674
Czechia,2014,,,,,,,,510.613,781.392,418.624
Dem. People's Rep. Korea,2009,,,,,,,,"1,546.55",,593.179
Dem. People's Rep. Korea,2018,,,,,,,,"1,507.78",,526.4
Dem. Rep. of the Congo,2002,,,,,,,,"5,455.39",,
Dem. Rep. of the Congo,2009,,,,,,,,"10,244.09","3,398.55",377.867
Dem. Rep. of the Congo,2014,,,,,,,,"13,534.63","4,388.46",
Djibouti,2009,,,,,,,,55.546,44.481,3.159
Djibouti,2011,,,,,,,,60.992,50.965,4.705
Djibouti,2014,,,,,,,,64.319,58.553,
Djibouti,2018,,,,,,,,62.979,65.144,
Dominican Republic,2014,,,,,,,,"1,267.93",931.068,455.822
Ecuador,2008,,,,,,,,"2,008.02",,534.522
Ecuador,2012,,,,,,,,"2,089.09","1,822.64",572.721
Ecuador,2013,,,,,,,,"2,068.18","1,882.59",586.105
Ecuador,2014,,,,,,,,"2,093.84","1,942.23",
Egypt,2004,,,,,,,,"7,928.38","8,329.82","2,260.76"
Egypt,2014,,,,,,,,"11,128.03","8,208.33","2,544.11"
El Salvador,2014,,,,,,,,777.043,625.06,176.293
Equatorial Guinea,2000,,,,,,,,73.377,20.705,1.003
Equatorial Guinea,2012,,,,,,,,92.029,,
Eritrea,2014,,,,,,,,361.604,270.088,12.554
Estonia,2014,,,,,,,,77.215,77.873,59.998
Eswatini,2006,,,,,,,,229.686,76.979,5.692
Eswatini,2013,,,,,,,,239.019,93.461,8.057
Ethiopia,2012,,,,,,,,"14,532.48","4,928.71",693.287
Ethiopia,2014,,,,,,,,"15,733.28",,757.175
Fiji,2012,,,,,,,,102.778,97.254,
Finland,2014,,,,,,,,351.766,536.925,306.08
France,2014,,,,,,,,"4,188.55","5,947.21","2,388.88"
Gabon,2002,,,,,,,,281.871,105.191,
Gabon,2003,,,,,,,,279.816,,10.076
Gabon,2011,,,,,,,,317.946,,
Gambia,2004,,,,,,,,204.731,,1.53
Gambia,2018,,,,,,,,350.323,,
Georgia,2014,,,,,,,,285.329,281.739,120.923
Germany,2014,,,,,,,,"2,862.69","7,201.07","2,912.20"
Ghana,2009,,,,,,,,"3,659.12","1,812.08",203.376
Ghana,2018,,,,,,,,"4,401.19","2,677.15",
Gibraltar,2009,,,,,,,,3.255,1.657,
Greece,2014,,,,,,,,628.753,667.718,677.429
Grenada,2009,,,,,,,,14.186,11.031,6.689
Grenada,2014,,,,,,,,13.061,9.736,
Guatemala,2002,,,,,,,,"2,075.69",608.42,111.739
Guatemala,2007,,,,,,,,"2,448.98",864.154,233.885
Guatemala,2014,,,,,,,,"2,417.43","1,165.62",298.761
Guinea,2008,,,,,,,,"1,364.49",530.705,80.222
Guinea,2014,,,,,,,,"1,729.63",715.702,117.943
Guinea-Bissau,2000,,,,,,,,150.041,25.78,
Guinea-Bissau,2006,,,,,,,,269.287,55.176,3.689
Honduras,2004,,,,,,,,"1,257.36",,122.874
Honduras,2014,,,,,,,,"1,150.04",619.832,185.876
Hungary,2014,,,,,,,,393.02,857.807,329.455
Iceland,2014,,,,,,,,29.892,37.53,19.901
India,2003,,,,,,,,"125,568.60","81,050.13","11,295.04"
India,2014,,,,,,,,"137,808.91","129,438.99","30,305.85"
Indonesia,2004,,,,,,,,"29,142.09","16,353.93","3,551.09"
Iran (Islamic Republic of),2014,,,,,,,,"7,441.08","5,794.54","4,685.39"
Iraq,2004,,,,,,,,"4,334.61","1,706.23",412.545
Iraq,2007,,,,,,,,"4,864.35","2,037.51",
Ireland,2014,,,,,,,,536.471,348.116,203.912
Israel,2009,,,,,,,,786.094,693.877,342.707
Israel,2014,,,,,,,,861.699,767.729,376.952
Italy,2014,,,,,,,,"2,862.67","4,596.92","1,854.36"
Jamaica,2002,,,,,,,,329.762,228.316,45.394
Jamaica,2013,,,,,,,,278.331,228.935,74.414
Jamaica,2014,,,,,,,,266.201,223.92,
Japan,2014,,,,,,,,"6,714.54","7,227.49","3,862.46"
Jordan,2004,,,,,,,,799.888,615.731,214.106
Jordan,2012,,,,,,,,849.39,724.356,306.63
Jordan,2014,,,,,,,,979.792,749.134,
Kazakhstan,2000,,,,,,,,"1,208.32","1,994.49",418.473
Kazakhstan,2014,,,,,,,,"1,122.28","1,661.59",727.401
Kazakhstan,2018,,,,,,,,"1,406.97","1,842.92",632.048
Kenya,2009,,,,,,,,"7,150.26","3,204.38",167.983
Kenya,2014,,,,,,,,"8,158.00",,
Kiribati,2008,,,,,,,,16.123,11.583,
Kiribati,2009,,,,,,,,15.566,,
Kiribati,2014,,,,,,,,16.192,,
Kuwait,2004,,,,,,,,158.271,267.114,36.866
Kuwait,2013,,,,,,,,239.231,278.581,71.786
Kuwait,2014,,,,,,,,252.585,283.077,
Latvia,2014,,,,,,,,114.623,121.58,89.671
Lebanon,2014,,,,,,,,480.923,370.359,228.954
Lesotho,2006,,,,,,,,424.855,96.073,8.5
Lesotho,2014,,,,,,,,366.048,130.836,23.545
Liberia,2000,,,,,,,,496.253,135.509,52.251
Liberia,2009,,,,,,,,605.236,,
Liberia,2014,,,,,,,,683.977,222.857,
Libya,2003,,,,,,,,739.028,797.992,375.028
Libya,2006,,,,,,,,755.338,732.614,
Liechtenstein,2014,,,,,,,,1.929,3.387,0.83
Lithuania,2014,,,,,,,,108.115,277.349,148.389
Luxembourg,2003,,,,,,,,34.081,34.716,3.077
Luxembourg,2012,,,,,,,,35.397,44.237,6.085
Luxembourg,2014,,,,,,,,35.435,46.872,
Malawi,2011,,,,,,,,"3,564.20",736.364,12.203
Malawi,2014,,,,,,,,"4,096.61",920.209,
